AuthID,FieldID
A-10612,F-7
A-10613,F-7
A-10614,F-7
A-10615,F-14
A-10616,F-12
A-10617,F-11
A-10618,F-7
A-10619,F-0
A-10619,F-2
A-1062,F-1
A-10620,F-13
A-10621,F-5
A-10622,F-13
A-10623,F-11
A-10624,F-6
A-10625,F-6
A-10626,F-0
A-10628,F-3
A-10629,F-10
A-1063,F-1
A-10630,F-5
A-10631,F-4
A-10632,F-2
A-10633,F-9
A-10634,F-3
A-10635,F-10
A-10636,F-7
A-10637,F-6
A-10637,F-14
A-10638,F-9
A-10639,F-7
A-1064,F-10
A-10640,F-0
A-10641,F-3
A-10642,F-5
A-10643,F-2
A-10644,F-3
A-10645,F-2
A-10646,F-4
A-10647,F-5
A-10648,F-6
A-10649,F-13
A-1065,F-14
A-10650,F-9
A-10651,F-6
A-10652,F-3
A-10652,F-12
A-10653,F-9
A-10654,F-3
A-10655,F-2
A-10656,F-14
A-10657,F-2
A-10658,F-2
A-10658,F-12
A-10659,F-7
A-1066,F-12
A-10660,F-2
A-10661,F-6
A-10661,F-7
A-10662,F-4
A-10663,F-2
A-10664,F-11
A-10665,F-7
A-10667,F-5
A-10668,F-5
A-10669,F-8
A-10669,F-11
A-1067,F-4
A-10671,F-10
A-10673,F-13
A-10674,F-14
A-10675,F-5
A-10676,F-10
A-10677,F-8
A-10678,F-2
A-10679,F-8
A-1068,F-4
A-10680,F-10
A-10681,F-14
A-10682,F-7
A-10683,F-7
A-10684,F-0
A-10685,F-13
A-10686,F-8
A-10687,F-13
A-10688,F-10
A-10689,F-2
A-1069,F-5
A-1069,F-10
A-10690,F-12
A-10691,F-10
A-10692,F-0
A-10693,F-5
A-10694,F-3
A-10696,F-6
A-10697,F-6
A-10698,F-14
A-10699,F-7
A-107,F-6
A-107,F-10
A-1070,F-12
A-10700,F-12
A-10701,F-10
A-10701,F-13
A-10702,F-3
A-10703,F-2
A-10704,F-13
A-10705,F-1
A-10706,F-0
A-10707,F-7
A-10708,F-6
A-10709,F-1
A-1071,F-7
A-10710,F-14
A-10711,F-11
A-10712,F-10
A-10713,F-10
A-10714,F-14
A-10715,F-2
A-10716,F-5
A-10717,F-1
A-10717,F-7
A-10718,F-4
A-10719,F-4
A-1072,F-10
A-10720,F-9
A-10721,F-7
A-10722,F-10
A-10723,F-8
A-10724,F-1
A-10724,F-11
A-10725,F-0
A-10726,F-3
A-10727,F-13
A-10728,F-10
A-10729,F-2
A-1073,F-14
A-10730,F-3
A-10731,F-7
A-10732,F-7
A-10733,F-13
A-10734,F-0
A-10735,F-8
A-10736,F-12
A-10737,F-2
A-10738,F-12
A-10739,F-2
A-1074,F-7
A-10740,F-7
A-10741,F-4
A-10742,F-2
A-10743,F-12
A-10744,F-8
A-10745,F-1
A-10746,F-13
A-10747,F-10
A-10748,F-6
A-1075,F-11
A-10750,F-2
A-10751,F-1
A-10752,F-2
A-10753,F-5
A-10754,F-8
A-10755,F-1
A-10756,F-0
A-10757,F-0
A-10758,F-12
A-10759,F-10
A-1076,F-6
A-1076,F-7
A-10760,F-7
A-10761,F-2
A-10762,F-7
A-10763,F-10
A-10764,F-2
A-10765,F-14
A-10766,F-2
A-10767,F-1
A-10768,F-5
A-10769,F-12
A-1077,F-10
A-1077,F-12
A-10770,F-4
A-10771,F-10
A-10772,F-2
A-10773,F-1
A-10773,F-8
A-10774,F-10
A-10775,F-2
A-10776,F-13
A-10777,F-3
A-10778,F-9
A-10779,F-9
A-1078,F-12
A-10780,F-7
A-10781,F-13
A-10782,F-3
A-10783,F-2
A-10784,F-3
A-10785,F-5
A-10786,F-2
A-10786,F-3
A-10787,F-4
A-10787,F-10
A-10788,F-5
A-10789,F-5
A-1079,F-0
A-10790,F-14
A-10791,F-13
A-10792,F-8
A-10793,F-14
A-10794,F-4
A-10794,F-13
A-10795,F-12
A-10796,F-1
A-10797,F-6
A-10798,F-3
A-10798,F-4
A-10799,F-8
A-108,F-12
A-1080,F-8
A-10800,F-2
A-10801,F-5
A-10802,F-2
A-10803,F-12
A-10804,F-2
A-10805,F-5
A-10806,F-10
A-10807,F-14
A-10808,F-7
A-10809,F-13
A-1081,F-13
A-10810,F-7
A-10811,F-0
A-10812,F-7
A-10812,F-9
A-10813,F-5
A-10814,F-0
A-10814,F-7
A-10815,F-7
A-10816,F-1
A-10817,F-2
A-10818,F-9
A-10819,F-13
A-1082,F-1
A-10821,F-1
A-10822,F-8
A-10824,F-11
A-10825,F-14
A-10826,F-5
A-10827,F-12
A-10828,F-4
A-10829,F-4
A-1083,F-13
A-10830,F-2
A-10831,F-0
A-10832,F-0
A-10833,F-1
A-10834,F-0
A-10834,F-9
A-10835,F-7
A-10835,F-9
A-10836,F-10
A-10837,F-13
A-10838,F-14
A-10839,F-2
A-1084,F-7
A-10840,F-2
A-10841,F-7
A-10842,F-12
A-10843,F-12
A-10844,F-4
A-10845,F-13
A-10846,F-6
A-10847,F-10
A-10847,F-12
A-10848,F-9
A-10849,F-6
A-1085,F-9
A-10850,F-11
A-10851,F-0
A-10852,F-8
A-10853,F-4
A-10854,F-2
A-10855,F-9
A-10856,F-1
A-10857,F-2
A-10858,F-2
A-10859,F-14
A-1086,F-5
A-1086,F-14
A-10860,F-1
A-10861,F-12
A-10862,F-12
A-10863,F-3
A-10864,F-10
A-10865,F-2
A-10866,F-4
A-10867,F-7
A-10868,F-8
A-10869,F-5
A-1087,F-10
A-10870,F-4
A-10870,F-11
A-10871,F-4
A-10872,F-1
A-10873,F-11
A-10874,F-13
A-10875,F-11
A-10876,F-7
A-10877,F-3
