PaperID,AuthID
E09-1039,A-9440
E09-1039,A-12232
E09-1040,A-16508
E09-1040,A-7662
E09-1040,A-7202
E09-1040,A-14316
E09-1040,A-11308
E09-1040,A-16406
E09-1040,A-11255
E09-1041,A-5253
E09-1041,A-16063
E09-1041,A-8022
E09-1042,A-5253
E09-1042,A-8022
E09-1043,A-15004
E09-1043,A-15036
E09-1044,A-9823
E09-1044,A-18800
E09-1044,A-18801
E09-1044,A-12502
E09-1044,A-740
E09-1045,A-14768
E09-1045,A-2997
E09-1045,A-10283
E09-1046,A-7896
E09-1046,A-7426
E09-1047,A-7838
E09-1047,A-12445
E09-1047,A-1860
E09-1047,A-15961
E09-1048,A-5825
E09-1048,A-14603
E09-1049,A-15697
E09-1049,A-18802
E09-1049,A-18803
E09-1050,A-5705
E09-1050,A-1225
E09-1051,A-14941
E09-1051,A-12950
E09-1052,A-7194
E09-1052,A-11096
E09-1053,A-7194
E09-1053,A-14550
E09-1054,A-15346
E09-1054,A-2885
E09-1055,A-14550
E09-1055,A-12817
E09-1056,A-12496
E09-1056,A-2884
E09-1056,A-4576
E09-1057,A-7109
E09-1057,A-9759
E09-1057,A-4935
E09-1058,A-6090
E09-1058,A-14072
E09-1059,A-16186
E09-1059,A-2045
E09-1059,A-13446
E09-1060,A-13173
E09-1061,A-10953
E09-1062,A-7633
E09-1062,A-6200
E09-1063,A-9416
E09-1063,A-12941
E09-1064,A-1194
E09-1064,A-14435
E09-1064,A-18421
E09-1065,A-7942
E09-1065,A-10069
E09-1066,A-7285
E09-1067,A-15757
E09-1067,A-12953
E09-1067,A-16013
E09-1068,A-7017
E09-1069,A-17321
E09-1069,A-14637
E09-1069,A-1276
E09-1069,A-14901
E09-1070,A-7959
E09-1070,A-16909
E09-1070,A-5793
E09-1071,A-18804
E09-1071,A-18805
E09-1071,A-1235
E09-1072,A-16921
E09-1073,A-6801
E09-1074,A-4096
E09-1074,A-17987
E09-1075,A-5455
E09-1075,A-6377
E09-1076,A-386
E09-1076,A-14614
E09-1076,A-6086
E09-1077,A-3241
E09-1077,A-158
E09-1078,A-14661
E09-1078,A-6090
E09-1079,A-4387
E09-1079,A-7979
E09-1080,A-16509
E09-1080,A-4837
E09-1081,A-14307
E09-1081,A-9512
E09-1082,A-12079
E09-1082,A-3837
E09-1082,A-15036
E09-1083,A-2131
E09-1083,A-9270
E09-1083,A-14517
E09-1083,A-1498
E09-1083,A-4896
E09-1083,A-7663
E09-1084,A-16755
E09-1084,A-18756
E09-1084,A-12930
E09-1084,A-17373
E09-1084,A-10292
E09-1085,A-9512
E09-1085,A-14307
E09-1086,A-17816
E09-1086,A-1547
E09-1087,A-16360
E09-1087,A-12287
E09-1087,A-597
E09-1087,A-1864
E09-1088,A-9471
E09-1088,A-13207
E09-1089,A-16925
E09-1089,A-8863
E09-1090,A-15877
E09-1090,A-13207
E09-1090,A-11978
E09-1091,A-10714
E09-1091,A-13887
E09-1091,A-16417
E09-1091,A-5240
E09-1092,A-12038
E09-1092,A-9271
E09-1092,A-1333
E09-1093,A-6191
E09-1094,A-16187
E09-1094,A-18527
E09-1094,A-16757
E09-1095,A-13362
E09-1095,A-1057
E09-1095,A-7119
E09-1096,A-152
E09-1096,A-14419
E09-1096,A-15561
E09-1097,A-3945
E09-1097,A-9971
E09-1097,A-1852
E09-1097,A-1336
E09-1098,A-16692
E09-1099,A-16811
E09-1099,A-13597
E09-1099,A-14315
E09-1100,A-13697
E09-2001,A-7800
E09-2002,A-16329
E09-2002,A-6461
E09-2002,A-9595
E09-2003,A-3330
E09-2003,A-2544
E09-2003,A-15782
E09-2004,A-9723
E09-2004,A-6305
E09-2004,A-4035
E09-2004,A-8964
E09-2004,A-3541
E09-2005,A-4814
E09-2005,A-18498
E09-2005,A-15602
E09-2005,A-14793
E09-2006,A-7211
E09-2006,A-13880
E09-2006,A-7785
E09-2006,A-2041
E09-2006,A-16722
E09-2006,A-4891
E09-2007,A-15682
E09-2007,A-15601
E09-2007,A-10514
E09-2008,A-15898
E09-2009,A-7194
E09-2009,A-4700
E09-2009,A-15731
E09-2009,A-1852
E09-2009,A-9202
E09-2009,A-4918
E09-2009,A-13352
E09-2010,A-10948
E09-2010,A-13720
E09-2010,A-17485
E09-2010,A-14793
E09-2010,A-15602
E09-2010,A-14904
